turn,text
1,"P.C. Hoofts spel van ' Achilles en Polyxena ' naam de Persoonen . 2 chooren : AchillesAgamemnonMenelausNestorGrieckenUlyssesDiomedesAiaxAutomedonPatroclus stompolyxenapryamushecubahectorandromachetroyanenparishelenaaeneasantenordeïphobusastianax stom Den Drucker tot de Leser . bemind Leser , nademael de konst van Reden-rijck in ons lief vaderlanden zeer bloeyen opgaet , ende met zulcke kracht ende snellicheyt oprijzen , dat elck reed'lievend ' hert hem met verwonderinge daer in verblijden , die te veel , om dat de gheest van ons teghen - woordighen tijt innen Konst van Reden-rijck wederom oprechten de zuyf nederduytsche tael : in welcke oprechtinghe de autheur dese treurspel niet de minst en zijn , maer de meeste , naer het oordeel van veel treffelijcke verstandigh mensch , zoo dat ick niet en hebben konnen naerlaten dit teghenwoordigh Treurspel van Achilles en Polyxena door de Druc gemeen te maken , eensdeels om de over - groote vloeyentheyt vande Poëtsche dichten , te ander om de heerlijcke leeringhen ende sententien die de Autheur hier in aenwijst , ende hoe naectelijck hy hier af-belen de begheerlijckheyt de men - schen , ende de veranderinghen van die , alsoo dat hy ons die naecte - lijck in een tafereel afghebeeldet hebben : om te kort te zegghen , synen naem brenght mede tgheen hy zijn , ende waer toe hem de Nymphen ghestellen hebben , te weten , te wesen 't Hooft vande Poëten t'ons tijd , zoo dat de Musen die drymael dry in ghetaal zijn , door haar bode Fama hem hebben doen voeren door gantsch Neder - lant ; zoo dat veel dan billick ende recht zijn , dat de ghene die Fama met haer gheluyt hebben wacker gemaect ende oock eenich werck de - self hoofts aen de dach ghekomen zijn , dat oock dese uytnemende Bloeme aen synen Krans ghevlochten werde . verhopen dat de autheur dese wercx , my mynen arbeyt ende kost van dit Treurspel innen licht te gheven , te goed nemen zullen , ghelijck ick wel weten dat al konstlievende hert daer in een vermaken scheppen zullen . vaert wel . [ d'eers handeling ] d'eers handeling , een wtcoom"
2,"Calchas Thestorijdes , als ghij u ghinct vermeten Van Troijens ondergang de god wil te weten , Haa , weijnich weten ghier van , als ghij voorsaijde , dat wij negen jaar langh voor de troijaens stat Toebrengen souden met verdriet en commer , maar verwinnen t ' godloos volck innen tiend ' en laeste Jaer . want zijn de val nabij van Troijas hooge wal , door wie hant soude die als door Achilles vallen ? calchas , waert ghij in het waerseggen soo geleren , ghij sout Achilles val hebben gepropheteert ! Achilles vallen , seg ick , en door Achilles sterven Der Griecken onderganck en endelijck bederven ! tgemeene volck , die daechs met arbeijt sijn beswaert , ontlast de nacht , die mij de groot onrust baert . de god , moe dansen , sijn lang te rust gegaen ; Elck na sijn lusten , behalven de verliefd Maen , die , bleeck door groote min , onmoghlijck te vercouwen , Stilswijgent truert met haer vergulden staetjoffrouw . de griexse prince slapen sonder achterdacht , en stout crijsluij , iae , een groot deel van de wacht . Achilles can alleen op bed noch bulster dueren ; Achilles moeten alleen daechs en de nacht besueren de groote cracht de mins . sijt ghij de selve man , die corts Neptunus soon in een slach verwan ? ghij , die nu gaet bij nacht t ' troijaens veld duer wandelen , niet eens te letten op de wacht en t ' svijandts handelen , niet om t ' voornemen van haer hulper te bespien , gelijckt een capijteijn betaemen staechs toe te sien , Waer Troijens muur swackst en licht sijn om te crencken , maer om de schoonheijt van u , Juffrou , t ' overdencken ! Achilles , t ' zijn een schant ; ghij , die waert corteling Van Troijen veel ontsien dan enich ander ding ; die t'svijants bloedich heijr en Hector den grouwe , Wijct die voor een , voor een , voor een troijaens vrouwe ? Polyxena , k ' hebben noijt u broeder ijet achten , maer u manier hooch sijn van een ander cracht , u teder schoonheijts glans , een oorspronck van mijn smerte , u edel hues gelaet , bespringen de hooge hert gans op een ander wijs als t ' mannelijck gewelt Den stouten crijsluij doen in het bestuiven veld . lichamelijcke crijch , verwin van volck en rijcken , en d ' oorloch vant gemoeden malcander niet gelijcken . wie deet de Hercules oijt nutte wederstant ? omphaal compt en neempen sijn wapen wen de hant , die mette vrouw const de spille draijen leren , die gans rijcken cort het onderst boven keren ! maer alst u wil zijn , Cupido , groot Ghodt , dat ick oock worden most in uwe min versot , hoe onderwerpen ghij niet aen sulcken vrou mijn sinnen , die ' ck sonder achterdeel de griecken mogen min ? waerom maect ghij mij slaeff van mijn vijandin , die mij so dootlijck haet als ick haer hertlijck min ? in wat manier sal nu Achilles troost verwerven , die , soo hijt niet en crijcht , moeten troost-gebreckich sterven ? wat sal ick dan ? te hulp aen die van Troijen gaen ? de Princen , die ick swoer , verlaten en verraen ? want hoe sal Pyramus sijn dochter kunnen geven aen eenen , die hem staet na eer , nae lant , nae leven ? de god jonnen ons wat beter . hoe ? daer sijn wel ander middel , niet oneerlijck voor mijn . Automedon !"
3,mijn heer .
4,"terstont moeten ghij gaen binnen de stat de outsten soon van Priamus gaen vinnen . en segen hem wen mijn naem : Achilles wensch hem , dat hij lang voorspoedich leeff tot welvaert van sijn stat . daer nae verhaelen hem , wat ick om sijn suster lije . indien hij in de noot mij daer mee willen verblijen , Ick sal de griecken van het oorloch aff doen staen , de Princen en het volck altsaemen scheep doen gaen , en t ' Argos tot haer vrou en clene kind keeren , die , t ' sijn al negen iaer , haer wedercoompst begeren . indien hij mij voldoen en laet mijn wens geschien , op dees manier alleen zijn t ' ongeluck te vlien , dat troijas hovardij van gden hebben te verwachten . u bootschap wel willen doen , en ras te keer trachten . en brengen mij twijffelachtig antwoort in mijn tent ."
5,"Ick gae terstont , mijn heer , daer ghij mij heenen sent . Tes wonder , dat d ' aldergroothertichst capitaijn , de mannelijck mans , hun self soo verkleijnen , dat sij haer eel vernuft en overgroot geest , die van een ijder wert verwonderen en gevrezen , Dick onderwerpen aen een vrouwe slecht en teeder . bryseis zijn het laetst , Polyxena ' ist nu weder . de cloeck jongeling , die nu het aertrijck draecht , zijn slaeff van sijn slavin ; nu zijn hijt van een maecht , die hem voorseker met veel plagen wenscht beladen als Xanthus visschen hebben en t ' bos van Ida blaeden . het daecht te met en ick zijn aen de mueren schier . 1 . handeling . 2 . wtcoom"
6,Wies daer ?
7,"de coning van tessalije sent mij hier , en moeten mijn bootschap niet dan Hector selfs wtleggen ."
8,"indien ghij wat vertoeven , men salt hem aen doen seggen ."
9,"Grootmoedich Prins , die sijt u ' svader rijck pijlaer , Sonder wie rechter hant de stat lang t ' onder waer , de soon van Thetis , die snel lopen al hebben hij wijecken , die sent mij wen het heijr van de geleersde griecken , en wenscht u , dat ghij lang leven en tegelijck Geluckelijck beschermen u out toecomend Rijck . t ' Sint dat u moeder laest de godt van Delos eren met kostel offerant , en Troijens heijl begeren , en dat Polyxena met haer te outaer quam , Ontstack de hellen sijn hert met sulcken heten vlam , dat lijven tot jacht en crijch , die hij te voren eren , Altsaem in teeder lijefven ' van dees Princes verkeerd . al ander oeffening slaan wt sijn sin , doen niet dan maelen in sijn ongemeeten min , in welcke lijefd ' hij wenscht genieten te volharden tot dat vant lichaem sal sijn siel geschieden worden , Loont hem Polyxena maer met gelijcke brant . nu staet het gans geluck van troijen in u hant : indien gh ' Achilles niet van haer en gaet versteecken , hij sal de griecken van de mueren op doen breecken ; So blijven u vader out en broeder in haer loff , en achter 't tien jaer salt edel rijcke hoff Van Pryamus in fluer noch blijven en verblijen , dat swaerlijck wert gedraeijcht van veel prophesij ."
10,"ick wens de Mirmidoischen prins groot van gemoet Sijns lijffs genieting tot vergelding van sijn groeten . Achilles ick beloven mijn suster te vereeren , indien hij het griexse heijr niet willen terug doen keeren , Maer levrent in ons macht en helpent selfs verslaen , dat niemant over blijff diet mach vertrecken gaen , dat griecken nimmermeer dees aenslach en mach prijs ; Off Atreus neef selff de wech te hellen wijsen . die dood met sijn hant , tot voorstant van ons saeck , en eeren troijen met een hooch verdienen wraeck . indien hij een voldoen van beyde dees ding , Soo gaet hij al die oijt troost van Lieffd ontfing te boven in geluk , en crijcht mijn suster cuijs , Laomedons geslacht , vant out en edel huijs Van Dardanus wen Jovis godlijck saet gesprooten . aldus sij worden mach van hem alleen genooten , maer op geen ander wijs winnen hij dees teeder maecht . Dies tot sijn tente keren , en hem dit antwoort draecht ."
