turn,text
1,de beklaaglijk dwang een bedryf .
2,"o gy snel vluchten , vertoef een ogenblik ; of menen gy schichtig , benaude Hert , dat ik u volgen gelijk de winnen ? ô neen , het zijn mijn gedacht , die volgen u op 't spoor ; ay willen een weynig wachten , Schou mijn vermoeytheyt aan , gelukkig , die noch te laat , moê en mat , een rustplaats vint ; maar , och ! ik arm rampzalig , door groote min drijven , Kan my aan beek , of bron , of bemen tot rust begeven ; Gy maken , door uw vlucht , een endt van u verdriet , maar ach ! hoe zeer ik vliê , ik ontvliê mijn quelling niet . oaangenaam dou , vermakelijk boomen , doorwrocht met cierlijk lof , en gy , ô waterstroomen , die , door uw helderheyt , schijnen vlieten ' stil te staan , groeyzaam berg , die te hemel reykt , schouwt aan dat bidden ik , mogen het zijn , my doch als een gelukkig , door dienen ik mijn godin beoog , gelijk een drukkig en droef Tantalus , die , als ik haar nau hebben , My wederom ontzinken als een afvallend ' eb . helaas ! henrijk ."
3,"Mevrou , ik zijn niet zeer verwonderen , of schoon dees waterbeek zich van zijn loop afzonderen , en tusschen d'oever , daar hy ruyssen ' vliet , als doden en roereloos blijven staan , ja zelfs de roos zijn root Verdubbelt , als beschaamt uw schoonheyt aan te schouwen . dees uytgehouw steen kunnen het zilvre nat niet houwen . Den zoeten Zephyrus vast met een labb're koelen , op het aangenaam en zoetst , door bladden en telg woelen . de zon met zijn glans het gebomen doen gloejent verven . de bloem , als door schrik de snelheyt , die besterven , en hangen als verslenst , door 't derven van de douwen , die hun Aurora schenken ; vermits gy , waarde vrouw , zijn Flora in het gebloemen , een thetis in de beek , en een Diaan in 't bos , die , om recht uyt te spreeken , Den held're Febus met zijn glans in all's verdoven ; en hem , wanneer het u lusten , van zijn paruyk beroven . ia , die de hooge Goôn kunnen wet en regel geven . en die gebietster zijn van Henrijks ziel , en leven ."
4,"zullen ik gebied die , die ik voor gebieder hiel ? Zoo horen een woort of twee , mijn uytverkoore ziel . dees aaklig ' eenzaamheyt verplichten my u te zeggen veel waarheên , die in my , ô Graaf , verbergen leggen ."
5,"noch veel wort gy verplichten , ô schoone , door mijn trouw , aan u beloven met eden ; maar ik bidden , ô waarde vrouw , slaan op mijn nedrigheyt doch niet uw lief ooog , laten die my gunstig zijn . mevrouw , wie op een hoogen Verheeve steenrots staan , die d'hemel reykt , wie top de god doen beloert , zien niet om laag ; want op Zoo hooog plaats te staan , en nederwaarts te kijken , zullen Argus snel gezicht al deyzen ' doen bezwijken , en duyss'len doen het breyn , door 't schrikkelijk vertoog ' Van nederwaarts te zien , en schelden het nieuwsgier oog . Dies van uw hemel , lief , zijn ik de laag aarde , Zoo veel schelen ons staan na 't lichaam ; maar , ô waarde ! doorluchtigste Princes , de groot proef van min en teyken , waar aan hy te kennen zijn , staan in een ongelijkheyt te gelijken , in zijn hand voeren deze God een schaal , daar hy de hart van de Verliefde , hoeze zijn , gelijken en evenaren ."
6,"indien uw nedrigheyt u ophouden , of bewaren , om met gelijk min my weder te beminnen , Zoo zijn uw min geveynst , door dienen ik in mijn zin , en mijn gedacht , u my waardig hebben gekent . hoe beek gy u dan in , als dat gy minder zijn ? neen Heer , wy zijn gelijk ."
7,"o goddelijk harssen ! die mijn verwelken liefd ' komen met uw dou vervarssen , die my zelf banen de wegh , en maken ons min gelijk ."
8,"Ia wanen van godlijkheyt ; wel aan , laten ons een blijk doen van oprecht min , en ons genegentheden van ons ziel , in een ziel te zamen smeden ."
9,"ik zoeken onwetend ' , och , mijn doden ; ik worden nagespoort van een verslind end ' dier . wat mensch hebben oyt gehoren dat een , die op de jaght het willen zoeken te belagen , zelfs vluchten , en worden gejagen , in plaats van te jagen , als ik , die door Fortuyn , en bitt're tegenspoet , Gedreven heen en weêr , met een ontsteeken moeten mijn doden zoek , en dat in die geen die my kunnen helpen ? doch als een Bazelisk ' mijn leven lamp komen stelpen . door het doodelijk gezicht van haar vergiftig oog . o beul van mijn gemoet ! Tyran , ay zeggen , hoe hoog , om my te plagen , zullen gy in uw wreetheyd steyg'ren ? hoe lang zullen gy dees borst vol vuur , als Etna , weyg'ren verkoeling ? Wrede min , die onbeloont .... maar zacht , daar komen mijn vyandin . wel aan , storten nu uw klacht , en offeren haar uw smart en pijn : laten niet verhoolen . neen , zuchten , kroppen u in ; waar willen gy heene doolen ? zien gy daar henrijk niet , uw vyandt ? dit geboomt My voor een schuylplaats strekken , en ik een spie ."
10,"betomen u ; wat ik zeggen dat zweren ik u , en zullen het ook houwe . zijn ik uw eyg niet ?"
