turn,text
1,gysbrecht van Aemstel . treurspel . het een bedryf .
2,"het hemelsch gerecht hebben zich te lang lessen ontferremmen over my , en mijn benaeude veste , en arm burgery ; en , op mijn volx gebedden , en dagelijx geschrey , de bang stadt ontzet . de vyant , zonder dat wy uitkomst durven hoopen , zijn , zonder slagh of stoot , van zelf het veld verloopen . mijn broeder jaeght hem na , zy nemen vast de wijck , en vlucht haestigh langs de Haerelemmer dijck . zoo stuiven de zee voor winnen met haer gedreve golf . Zoo zagh men menighmael een kudde wreede wolf , en fel tiger vliên voor het ysselijck geschreeuw Van al dier vorst , de hongerigen leeuw , om niet al levendigh en versch te zijn verslinden van hem , die op zijn jaght geen aes en hebben vinden . hoe snel , hoe onverziens zijn deze kans gedraeit ? hier , daer het leger lagh , zijn 't veld alom bezaeit met wapen en geweer , verbaest van 't lijf gereeten , Van ingebeelden schrick , en uit de hant gesmeeten , om zonder hindernis te vlieden langs de wegh . ja op het verjaeren zelf van het jaerig belegh Wort d'afgestrede muur van het langh belegh ontslaegen . hoe zullen het gansch lant van ons verlossingh waegen ! de kermerlander hebben met waterlander dier zweren duizentwerf , dat hy met zwaert en vier vernielen zullen eerlang de mensch , en de daecken , en tot een kerreckhof en asch en puinhoop maecken mijn out , mijn wettigh erf , en delven al mijn eer in eenen poel , tot wraeck van Floris hun heer : om wie vervloeckte doot ick lijde zoo onschuldigh , als yemant lijden magh , doch draegh mijn kruis geduldigh : of zoo ick schuldigh zijn , en hebben het my missen , het zijn uit onnozelheit , en zonder ergh of list . neef Velsen , lang geterght , van eige wraeck geprickelen , en Woerden hebben my hier listigh in gewickelen , en 't schoon voorgestelt , en eerst de zaeck verbloemen met wonderbaeren glimp : maer ik hebben hun wit verdoemen , zoo dra als ick verstont , hoe grof zy zich vergreepen , met de vangen graef naer Engelant te scheepen , en slaan die voorslagh af , te goed van 't gemeen , en rieden de ridderschap en al de groote steên te roepen , om de vorst zijn ' moedtwil te besnoeien , en geene uitheemsch maght noch koning te moeien , noch overzees gewelt te haelen in het lant ; veel min het hooft de lants te helpen aen een ' kant : waer uit een springvloet zijn van zwarighê gesproten , die over stad gaan en vast geboude sloot , en dorp zonder enden , en mensch zonder tal , van allerhande staet , die het eeuwigh smart zullen . noch hiel de wraek geen ' stant , en geven zich noit te vrede ; al hebben zy uitgeroit , te negensten geleed , wat Velzens stam bestont , of van zijn maeghschap schijnen . de nieuw ridderschap en stad in 't gemeen verbinden zich wel streng , met diergezworene eeën , Handtastinge en geschrift , dat zy bezeglen doen , van nu in eeuwigheit , met onverzoembren haet , Aen Woerden , Velzens bloet , en Aemstel , deze smaet te wreecken , en van zoen te reppen noch te roeren . ons maeghschap zitten verdruckt , durven schillen noch wapen voeren , en geven gewilligh schot en lot , om zoo gerust te leven , en de glans de adels blijven gebluscht . hier holp geen tusschen spraeck van koning en heeren . men willen mijn trouw stadt noch het onderst boven keeren , met burgery met al , wat my zijn houw en trouw . de hoop zijn , dat de tijt allengsken slyten zullen de bitterheit de volx , en d'oude wrock versterven : waerom ick my getrooste in ballingschap te zwerven veel jaeren achter een . of immers toen de zoon Van Floris wert gehaelen in al ziel troon , Verhoopte ick , zonder last van deze burgerije , te keeren in 't bezit en d'erref heerschappye Van Vecht en Aemstelstroom : dan laes : het zijn al om niet . en zijn het om my alleen , het waer een klein verdriet . ick laten my zelf van liden tot lidr in stucken zaegen , en nemen op my alleen de gruwelyxte plaegen , die oien tyran bedenken ; zijn dan de schult geboet , en sprack men daer meê vry mijn al t'onnozel bloet , mijn lief gemalin , en willig onderzaeten . ick willen , om hunnent willen alleen , mijn leven laeten , of springen in een ' poel , en stoppen deze wel , en dempen met een ' springen de nimmerzat hel . dat weten hy , die het al bezichtight uit de hoogen , en wat in duister schuilen met zijn doorzichtig ooog ontdecken tot op de gront , en al hart kennen ; waerom hy oock mijn recht gehanthaest hebben in het enden , en met de zegekrans my heerlijck begenadight , en tegen al de maght de vyand verdaedight ; die licht slaen in de winnen van out genote deught , waer aen wy volck en vorst verplichten van ons jeught , Zoo yvrig , zonder oit van trouw te veranderen . mijn vader hebben gestreckt een hooft van Waterlanderen , en kennemer in 't vellen , en met gewellen alom ( hoewel door noot persen ) vervolght de adeldom , en al vyantschap op zijn hals laden . de koning Willem zullen getuige van zijn daad , indien hy eenmael moght verrijzen uit het graf . ick hebben Graef Floris trouw gehanthaven by zijn ' staf , Zoo lang hy zitten vervooght , en niet een woort kunnen spreken , 'k hebben hem zijn vader doot rechtvaerdigh helpen wreken , het koninglijck gebeente ontdeckt , den Vries getemmen , en , als geheim raet , in al zijn heil gestemmen , met Brero voor de vuist het vlaemsch heir geslaegen , en in Kazant met kracht de standaert wech dragegen ; toen Guido nijdigh zijn , dat Floris , al het uitheemsch gezint , zijn ' erfgenaem willen huwen aen de Teems , en Vlaendren , Walchren zoeken te trappen met zijn rotten . oock voer ick over zee , om hem de kroon de Schotten te zetten op het hooft , hoewel het anders vallen . ick stont de graef en het volck te dienst met lijf en ziel , en noch verzaemelen men in 't harnas zoo veel troep , die over Amsterdam en Aemstel wraecke roepen , en brullen nacht en dagh , en zien niet hoe de vlam Van deze fellen brant haer ' één oirsprong nemen uit Floris geil borst , en het schandelijck omhelzen , het schennen van mijn nicht , die schoone bloem van Velzen , het verongelijcken van de adel , in zijn recht , bezworen met zijn ' mont , verblinde mensch , zeght , indien geen wrock en wraeck uw ooog dus verblinden , zullen ghy niet stofs genoegh tot aemstel onschullen vinden ? hoe zoeken men hem van out te maecken tot een slaef ! wat leden hy niet al leeds van bisschop en van graef ! men willen zijn loflijck bloet in 't bisdom niet gedoogen . d'aertsbisschop aen de Rijn kunnen met zijn nijdig ooog niet aenzien ons geluck , geven Gozewijn de schop , en zetten zijn neef de hoogen myter op . Wy streeden om de staf , tot datze my en Woerden , Aen weêrzy van zijn paert , tot een triomfe voeren in Uitrecht , met veel smaets , van veder aengehoren . men hebben my het vrelantsch slot ontweldight , hem Montfoort . ik bekennen het slot zijn my met voorwaerde dragen ; maer nergens om gebouwt , dan om mij landen te plagen . 'k hebben zijn graef vangenis wel zeven jaar lang Bezuurt , en Zwaenenburgh noch afgestaen door dwang , mijn erf in leen verkeren , en manscbap moeten zweeren ; daer ick eerst gden alleen , en anders geene heeren oien kennen in mijn gebiet , noch rekeninge geven . noch dringen men evenwel op my zoo stijf en straf : doch Haerlem draeght met recht de groot schult van al , dat om zijn voordeel wrocken , en wenscht mijn sterk wal te slechten tot de gront , in schijn van zijn graeven zaeck , en weten zijn baetzucht loos te decken met de wraeck , misbruicken hier toe den Zeeuw , de Hollanders , en Vriezen , om door mijn grootheit niet aen eere te verliezen . Zoo leght de zaeck by my , en daer op gae ick aen , en hebben in het zwaer belegh de storm uitgestaen , en dagh en nacht voor aen geworstelen op de wal , het vermoeien volck gesterckt , en rustigh uitvallen , mijn ' broeder Ot gequetst zien sterven in mijn ' schoot : krackeelen neêrgeleght in brant , in hongers noot , Gelijck een vader , my voor 't algemeen gedraegen : en noit bezweeck mijn moedt in droef nederlaegen : noch ik blazen my zelven op in voorspoet , noch zoeken roem in zijn vyands ondergang : hoe noode ick vyant noemen , die onverzoenelijck zich tegen my verzetten , en wensch met mijn bloet hun blanck geweer te smetten . 'k vergeven hun deze feil , en dom onwetenheit , Beveel my in zijn hant , die recht van onrecht scheit , en streckt in 's hemels stoel de onderdruckten trooster . maer ik zien de vader daer van ons katuizer klooster Genaecken van te zy , op dat hy my begroeten ' . Hy schijnen om ons geluck verheught en wel gemoeden . 'k zullen best verstaen uit hem , die nimmer zijn bespreken , waerom het leger zijn dus schichtigh opbreken ."
3,"MYn welgeboren heer , de zoet Jesus zy met u en uw stadt , en staan u eeuwigh by , in allerhande noot . de broeder van ons orde , en ick , zijn zoo verblijden , als ofw leven worden getrocken in de troon van Godts volmaecken vreught . ons klooster zingen , en klingen , en zijn niet veel verheught op het allerhooghste feest en heiligh jaer getije , Geviert van al de kerck , te eere van Marije , de zuivre moedermaeght , en Christus , haar zoon , die ons verlossen aen 't kruis , en droegh een doornekroon , als nu om uwent willen , die van de wreede plaegen Des goddeloozen krijghs verlossen zijn en ontslaan : nu al uw vyand verbaest zijn doorgegaen , en laeten tent , tuigh , en hunne hut staen , en alles , wat zy veel uw volck te goed geven . 'k geloven Godts engel hebben de vyant wechdrijven , als het heir de assyrier , die zijn vermeetle stem Hiskia hoor laten , tot voor Jeruzalem , het welck in eenen nacht zoo wonderlijck verkeerd , toen een , die het al regeren , dat stof hem verleren . hoe menigh dreigement , en vloeck hebben ick gehoren ! wat hebben men gift en gal gebraeckt , en brant en moort Getiert , en het gansch jaer schelden , en gekreeten , niet anders , of zy u met tand willen eeten ! d'een zetten u leven en geketent op een radt : een ander rollen u naecken in Velzens spijckervat : een ander willen uw hooft , uw beckeneel , vergulden , en vatten het in gout . het zijn byster hoeze brullen . Zy delen bloet voor wijn , uw vleesch voor voedsel uit , krackeelden om het geraemen , en dongen naer uw huit , en willen die get out op eenen ketel spannen , tot endeloozen schrick van schelm en tyran : Maer Godt zy eeuwigh danck die hun boos heit schut ."
4,"die d'opperste beschermen , hebben eene vast stut . godtvrucht vader , dat u gden en Christus loonen , Naerdien de broeder zich met u zoo gunstigh toonen te my waert , ick vertrouwe uw vierig gebeén die hebben dagh en nacht voor mijn stadt gestreên , de storm afgekeren , en het vier van ons daecken ; want wapen zijn onnut , zoo d'engelen niet waecken , en het yverigh gebedden van het geestelijcke volck . wat hangen u over het hoven een droef en donckre wolck Van zwarigheên , terwijl hier 't leger hebben liggen : Gy zijn niet misgedelen in zijn oorloghs milen zegen ."
5,"geen hair zijn ons gekrencken , geen overlast gebeuren . men hebben het klooster noit in zijn dienst gesteuren . Wy hebben staêgh volharden in ons oud yver : de boomgaert lijden geen scha aen vrucht , noch de vyver Aen visschen , noch de kerck aen d'alderkleenste ruit ."
6,wie hebben dan de soldaets baldaedigheit stuiten ? wat hiel zoo kort in dwang die breidelooze gast ?
7,"met geen inlegering willen Egmont ons belasten : behalve dat hy zelf en zijn lijfwacht meê , die altijt tuchtigh zijn , hier nemen zijn legersteê , en boven ons poort , laten aenslaen zijn graeven wapen , Daer wy in zekerheit gerust op moght slaepen ."
8,"dat doen my wel , gelijck een lieffelijcke lucht . ick zelf en al de stadt zijn veel om u beducht , en vrezen ofg lang verjaeght waert , en geplonderen . maer vader , zegh my eens ; een yeder zijn verwonderen , waerom het verbitteren heir zoo onverziens vertrock , en liever niet volharde in het opzet van zijn ' wrock ."
9,"verwonderen u niet eens , de noot hebben hen dringen ."
10,"mijn burger liggen stil , en 't leger onbesprongen ."
