turn,text
1,"Den Trotzen Dwinger , of de gedwongen liefde . het een bedryf ."
2,zoo hebben het zich alles in u afzijn toegedragen .
3,"ik staan om 't geen gy zeght in mijn ziel verslaan , hoe ! zijn de koningin vervallen tot dees staet ? Ia zoo het zoo niet waer , zoo zullen ons quader quaet ontmoeten . hymen toorts moeten nu in Napels blaken , of Napels zullen in vuur door Mavors toorts geraeken . de Prins Andreas dwingen hier toe de Koningin . ach ! wat bestaet hy niet door zijn ontoombre min . en schoon mijn voorzorgh pogen zijn voorneem te beletten , Zoo gaet hy als ontzint zich tegen alles zetten . Hy steunen op Ong'rens Vorst die al dit werck belonen , waer door hy hem alreets gelijck verwinnaer kronen . Hy haeckt nochtans na vreê . die zoecken hy te bekomen ; en daer toe zijn dees plaets voor and're uytgenomen . nochtans haer majesteyt die willen geen trouwverbont die haar keur verdelen , zy hebben met hart en mont Geuyt , wat prins haer ziel in alles kunnen behagen . zullen Prins Andreas dan door 't streng gewellen bejagen het geen ziel , en hart weerstreven ? gewis hy vallen te hart ; en deze nootdwang baert een algemeene smart : Hy wil te onbedaght zijn willen naer wensch volvoeren met krijger die niet doen als muyten , en ontroeren door d'onbeloonden dienst , en honger die haer prangen , waer door zijn legermaghr geen kleeoen krack onrfangen . oock zijn my zoo een brief terstont te bant komen Van Prince Lodewijck , met wien ik hebben voornemen een vast verbinden trouw te maecken , waer in hy Andreas licht van woort beklaegen van veynzery , vermits zy t'zamen in belofte zijn treden . want een staet-zuchte prins verbint zich aen geen eeden Wen hy zijn voordeel zien . zoo dat hy met dees hoon Alleene hem niet treffen ; maer my oock mede . schoon Wy twee verscheyden zijn zoo voelen nochtans mijn hart een hoon , een ongelijck , en door dees twee een smart . heer Graef mijn heevigheydt geven u dit te verstaen , op hoope dat uw raet de prins zullen helpen raên tot heyl , en niet tot dwang van 't Rijck , of nagebuuren . wat onheyl moeten een man van Staet niet al bezuuren eer alles gaet naer wensch . zulck tonen ons de Vorstin . die van een dwingelant dwingen wert tot min . niet om de koningin zijn heyr hy herwaerts ruckten ; maer wel om Napels kroon . Zoo hem dees kans gelucken , Lagh kroon , en stoel om ver ! een dwingelant betonen zijn aert in het woeden ; ja de koningin verschoont Hy niet veel als het gemeen ; ick kennen zijn aert , en zede . willen door staetzuchtigheyt , noyt volgen raet , noch reden . zacht Grave , ik horen gerucht , en het steek de trompet ."
4,"het zijn de koningin , en prins Andreas , met Haer Eedelen verzellen . nu zullen de uytkomst blijken ."
5,'k vertrouwen haar majesteyt zullen zulck een vonnis strijcken die hem heel hooploos maeckt . want trotzen dwinglandy Mishaegt die het al regeren .
6,"zijn welkom hier by my , Doorluchte Koningin , ick kus uw speer , en wapen , nu gy vol oorloghsmoet genaeckt mijn oorloghsknaap , en my als een godin , ô moedig Belloon , die d'oorloghsgden vol moeten stoten van zijn oorloghstroon , hoe dorst haer majesteyt door het stael , en harnas dringen ."
7,"de Tijt my baert door tijt veel ziels verandering . de oorzaeck van mijn komst , Andreas , die zijn dit , nu ick mijn vader kroon als erfgenaem bezit , My niet willen tegen willen met u in d'echt vermengen , door die ick uwe min zullen nimmermeer gehengen . dit zijn waerom ick u in 't harnas hier verschijnen . gaan keer na Ong'ren weer , zoo sullen gy mijn pijn verzachten , en mijn ziel daer door op het hooghs verblyden . het zijn beeter met de reên , als met het stael te strijden . een edelmoedigh prins laet zich tot weldoen raên ."
8,een Eedelmoedigh prins kreuckt zijn lauw'reblaén als hy het spraeck-lit vieren dat held eer vermannen .
9,"het stael door wraeck-lust blint ontzien geen kroon , noch land : dies geven mijn reên gehoor , schoon gy voor Ongrens Vorst Gelijck een twee Mars , het glad harnas torsen tot voorstant van zyn kroon , ik zweren u by mijn Staten . dat ick u meerder als de nacht de dagh zullen haten . men stellen natuur geen wet , steun op geen huwlijx-luck ; wie met de morgenzon te troon stijgen , leyen vol druck te Rijcx-troon uytgeschopt , eer d'avont - star komen licht , daerom laet dwinglandy , ô prins , voor reden zwichten . men brengen door geen gewelt een koningin te trouw . de dwang voegen een slavin , geen hoogh-geboore vrouw . het geen de mensch vernoegt , dar zijn in rust te leven ."
10,"om die te vinden ick my herwaerts ginck begeven voor Napels met mijn volk , 'k hebben noyt , Vorstin , trachten dit machtigh Rijck door dwang te brengen in mijn macht ! o neen ! een stercker drift hebben mijn ziel bewegen . Gy kennen uw legermacht , en met mijn groot vermogen . uw schoonheydt mijn ziel hebben in een strick verwarren , schoon weederspannigheyden verblinden doen het hart van u , ô koningin ! uw straf reên my wecken tot gramschap , doch het gedult d'oploopentheyden komen decken , en smoren mijn heevigheydr . Andreas hem verlaet op uw heer vader woort , of wapen , kiezen wat staet u aenstaet , in de vreê , of oorlogh vreucht te scheppen ."
