turn,text
1,Lucifer . treurspel . het een bedryf .
2,"MYn belial gaan heene op lucht en vleugel dryven , om uit te zien waer ons Apollion magh blyven . Vorst Lucifer zonden hem , tot deze toght bequaem , Naer het aertrijck , op dat hy eens nader kennis naem ' Van Adams heil en staet , waer in d'almogentheid hem stellen , het wort tyt om weder van beneden te keeren hier te stede : ick gis hy zijn niet veer . een wacker dienaer vlieght op het wencken van zyn ' heer ; en stut zyn meester troon getrou met hals en schouder ."
3,"Heer Belzebub , ghy Raet van 's hemels stedehouder , Hy steigeren steil , van kreits in kreits , op ons gezicht . Hy streven de winnen voorby , en laet een spoor van licht en glanssen achter zich , waer zyn gezwind wiecken de wolcken breecken . hy beginnen ons lucht te riecken , in eenen andren dagh en schooner zonneschyn , daer 't licht zich spiegelen in het blaeuw kristalyn . de hemelklooten zien met hun gezicht , van onder , Terwyl hy ryst , hem na , een ieder in het byzonder , Verwondert om die vaert en goddelycken zwier , die hun geen Engel schynt , maer eer een vliegen vier . geen star verschieten zoo snel . hier komen hy aengesteegen , met eenen gouden tack , en hebben de steil weg Voorspoedigh afgeleien ."
4,wat brengen Apollion ?
5,"Heer Belzebub , ick hebben , zoo vlytigh als ick kunnen , het laegh gewest bespiet , en of u de vrucht , Zoo diep beneden ons , in andre zon en lucht , gesprooten : oordeel , uit de vrucht , van het lant , en van de hof , door Godt gezegenen , en planten , tot wellust van den mensch ."
6,"ick zien de goude blaeden , met perlen van de lucht , de zilvren dau , gelaeid . hoe lieflijck rieckt dit loof , dat zijn verf behouden ! hoe gloeien dit vrolijck ooft van karmozijn , en gout ! het Waer jammer zoo men dit ontwijde met de hand . 't gezicht bekoren den mont . wie zullen niet watertanden Naer aertsche leckerny ? hy walght van ons dagh , en hemelsch mann ' , die het ooft de aerde plucken magh . men zullen ons Paradijs om Adams hof verwenschen . het Geluck der Engelen moeten wijcken voor de mensch ."
7,"niet waer , heer Belzebub ? al schijnen de hemel hoogh , Wy leggen veel te laegh . het geen ick met mijn oogh gezien hebben , mistme niet . het vermaeck van zijn weerelts hof , een eenigh Eden gaet ons Paradijs te boven ."
8,Laet hoor watghe zaeght : wy luistren t'zamen toe .
9,"ik Verzwijgh mijn heenevaert , om niet te reppen hoe gezwint ick nedersteegh , en zonck door negen booog , die , snel dan een pijl , rontom hun midpunt vloogen . het radt de zin kunnen zoo snel niet ommeslaen , in ons gedacht , als ick , laeger dan de maen en wolcken , afgegleên , blijven hangen op mijn pen , om 't oostersche gewest en lantschap t'onderkennen , op het aenzicht van de kloot , daer d'oceaen om spoelen , waer in zoo menigh slagh van zeegedroght woelen . Van ver zagh men hier een ' hooog bergh verschieten , waer uit een waterval , de wortel van vier vliet , te dale nederbruischt . wy streecken steil , en schuin voorover met ons hoven , en rust op de kruin Des berghs , van waer men vlack de zalig landouw Der onderweerellen en haer weelde kunnen aenschouwen ."
10,"nu schilderen ons de hof , en zijn gestaltenis ."
11,"de hof vallen ront , gelijck de kloot de weerelt zijn . in 't midden rijzen de bergh , waer uit de hooftbron klateren , die zich in vier delen , en al het lant bewateren , Geboomte en beemd laest , en leveren beecken uit , Zoo klaer gelijck kristal , daer geen gezicht op stuiten . de stroomen geven slib , en koesteren de grond . hier worden Onixsteen en Bdellion vinden . hoe klaer de hemel oock van star blincken , en barnt ; hier zaeide vrouw natuur in steenen een gesternt , dat ons star doven . hier blincken het gout in d'ad . hier willen natuur haer ' schat in eenen schoot vergaderen ."
12,"wat zweven ' er voor een lucht , waer by dat schepzel leven ?"
