turn,text
1,"een bedryf . een vertooning voor het spel . die van tessaliën en Colchos opgetoogen , zien vrouw Medeaas konst en wonderlyk vermoogen , Zy staan gereed om hen de kracht van haar kruid te toonen , en de winst van Colchos ryke buit ; waar door zy Vaderland en vader durven verraaad , om zich in weelde met haar minnaar te verzaaden ; maar zy zullen haaar straf meê kryg op haar beurt , die steets , met naberouw , ellendig worden betreurden . Twede vertooning voor het spel . daar zien de Aanschouweren verbazen het een wonder ; 't Volk van tessaliën speelen met hun gunst hier onder , dat geven Held Jazon moed , die zaaidt de draaketandt , uit zynen koop'ren helm , in het omgeploegde landen , 't welk , met een sap gemengen , dit zaadt beginnen te weeken , en nieuw lichchaaam verwekken aan kunnen kweeken . de Grieken zien ontsteld , dit nieuw geboor zaden de speeren vel naar Emoniërs Soldaat . wat helpen het of men zijn in wapentucht bedreeven , wanneer dat broeder elkander staan na het leeven . hoe groote leger zelf een Vorst gebied mogen , hoe zeer zyn rykdom groeid , zyn aanzien en gezag ; noch rykdom , aanzien , noch gezag zullen staan blyf , wanneer de Twist zyn volk door Tweedracht komen te styven ; door Tweedracht , die de staat de eenigheid splitsen ; Terwyl de wraak het bloed zelfs tegen bloed ophitst . drie vertooning voor het spel . gints hangen dat schit'ren goud op groen en zilv're blad'ren , het geen , zonder doodsgevaar , van niemant zijn te nad'ren . de Stier en draak , die nacht en dag op schildwacht staan , zien , al die daar verschynt met dreigen ooog aan ; Zy snuiven vuur en vlam , en damp , en missen , en waasem te keel uit , dat al de aard stinken van die helschen aasem . Den dap'ren Jazon , die weêrgadeloozen Held , Krygt , door Medeaas kunst , het vlies in zyn geweld . daar zien men Sciron , die , omsollen onversleeten , Zyn naam draagen in de klip , waar in hy worden gesmeeten . Den Ouden Ezon krygen weêr nieuw kracht en moed , en voelden zich zelfverjongen en vol van jeugdig bloed . hier na worden een dans van Krygshelden vertonen . een tooneel ."
2,"o Overhaat'lyk hof ! ô Hof dat my doen gruuwen ! zullen Jazon , myn Gemaal , tot afschrik van het huuwen , Kreüzaas koets bekleên ? ô snoode trouwloosheid ! geen boozer Schelm dan die zich van zyn Ega scheiden . noch zijn hy boozer zo hy and're durven beminnen . zijn dit het loon dat ik hem het gulde Vlies doen winnen ? o onverdraagb're spyt ! o ongeneesb're wond ! trouwbreeker , vrouwepest , en Vloek van het kuis verbinden , om welk een reden hebben gy de echt band schenden ? de Trouw worden slechts door dood of overspel ontbinden . o Huuwelykstieran ! weten gy wel wie gy hoond ? het zijn Medea , die , als zy haar kracht betoond , de wind , Starren , zon . hoofdstof , Bliksemstraalen , en donderklooten , door haar kunst , kunnen bepaalen , ik Hits de element , en wat schrikk'lyk zijn , aan een . hoe ! zullen ik lyden dat gy weêr zullen huuwen ? neen ! ik hebben myn broeder , om met u door trouw te paaren , van een gereeten , en de stuk in de baaren , half leevendig strooien , die zien wat dat gy doen : Dorst ik de zwart Zee rood verwennen met zyn bloed , om u te trouwen in 't gedrang de priestereijen ? ik zullen , nu ik u haat , om Broeders geest te peijen , u doen gevoelen wat ik broeder hebben doen : wat min aan hem bestaan , zullen haat aan u bestaan . ik hebben te wreed een moord , ô Schelm ! om u bedreeven : alleen de min kunnen my dit gruuw'lyk stuk vergeeven . ik zelf vergeven myn hart die snoode boosheid niet ; of ik zullen , door myn hand , die hem de borst doorstiet , de moordvlak van myn hand in Jazons broed uitspoelen : ik moeten , ik willen , en zullen myn hevigheid verkoelen : want zy begeren dat ik u naad'ren zullen met straf : maar wachten niet dat ik u zullen dompelen in 't graf . het graf zijn het rustbed van al die ellendig leeven . wie lang willen wreeken moeten geen kort moordsteek geeven . dies zullen myn bitt're haat , die staâg om weêrwraak brullen , de wreede zuster , die met slang zyn hullen , met pynboomtoortzen in haar scherp geklaauwde hand , tot hulpe roepen , om u nacht en dag te aanranden . wie groot van magt zijn lyd zich met geen kleene wraak , of zijn dit noch te zwak , tot redding van myn zaak ? zo zullen ik al het gedrogt gelyk te voorschyn vloeken , en schenden het op u aan , om u , in al hoek van de aard te volgen , in een gruuwely schyn . de Wanhoop , boos van aard , die rust zoeken door fenyn ; het knaagen gemoed , een geessel de gedacht : en de yselyke schrikken , ontzach'lyk door haar kracht , Zyn u te straf stellen , tot zoen van ons hoon . wie langzaam worden doden sterven meêr dan duizend doôn . Kreüza zullen myn haten hier tusschen niet verpoozen ; Zy sierden haar bruiloftsbed met purperverfde roozen ; maar ik zullen haar , ik zweren het , de doorn in het hart op 't diep doen steeken : want ik worden tot wraak getart . een fel wederwraak zijn kwaalyk te bepaalen . uw ledikant verwachten geen klank van Nachtegaalen , doormengen met maatgezang van Maagden , schel van keel ; want uw nachtkoets ; neen ! uw geil lustpriëel , zullen gruuwzaam grimmelen van Gieren , Kraaijen , uil , en zwart Ravens , die , met schreeuwen , gillen , huilen en krassen , uw gehoor , als gy in wellust zyt , verschrikken zullen ; zo zullen ik myn hart vol spyt , een vuur dat vinnig blaken , ontlasten van myn koortzen . weg , blyde Hymen , weg , met uw gewyde toortzen , de wreedst van 't boos gedrogt zullen , voor dit bruiloftsbed , haar ongewyde toorts , van leevend mensch vet , Bespat van traaan , klam van brein en bloed , ontsteek . ik willen my aan dit paar op het allerfelste wreeken . de wraakzucht van een vrouw zijn scherp dan een schicht . hier komtze die myn hart , door dienst , aan zich verpliggen . Twede tooneel ."
3,"MYn Voesterkind , hoe dus ? hoe zyt gy dus aan het woeden ?"
4,Myn boezem worden bestreên van bitt're tegenspoed :
5,de rampspoed zwichten voor een die alles temmen kunnen .
6,een edel hart gedogen geen byzit van haar man .
7,wie hoon en spyt verwind ontmoeten een heilzaam leeven .
8,een hooggeboore ziel verdragen geen tegenstreeven .
9,de huuwlyksnektar vinden men veel doormengen met gal .
10,een koninklyk gemoed verkroppen geen ongeval .
